pair,open_date,close_date,direction,entry_z,exit_z,exit_type,price_A_open,price_B_open,price_A_close,price_B_close,hold_days,gross_return,cost,net_return
PSX/VLO,2025-04-03,2025-04-24,long_spread,-2.8560166734524306,0.0641343555951605,mean_reversion,107.18,114.29,104.69,113.36,21,-0.007547375701718707,0.001,-0.008547375701718707
SLB/HAL,2025-04-04,2025-04-22,long_spread,-2.126334755802527,0.36121088671774193,mean_reversion,34.78,19.98,34.61,20.7,18,-0.020461951313015092,0.001,-0.021461951313015093
PSX/VLO,2025-05-21,2025-07-24,long_spread,-2.1308327440341928,0.08924993183557613,mean_reversion,111.78,127.8,124.32,140.34,64,0.007031291344416377,0.001,0.006031291344416377
SLB/HAL,2025-09-23,2025-10-23,long_spread,-2.2393313003506594,0.2832390063921285,mean_reversion,34.49,24.27,36.01,27.22,30,-0.03873924629927428,0.001,-0.03973924629927428
SLB/HAL,2026-03-11,2026-04-08,long_spread,-2.181193783331471,0.6360260217712314,mean_reversion,48.17,35.93,51.88,37.8,28,0.012486623558910726,0.001,0.011486623558910725
PSX/VLO,2026-04-09,2026-04-30,long_spread,-2.1747873640867597,0.537281451035635,mean_reversion,161.07,235.1,179.15,252.58,21,0.018948996366467522,0.001,0.01794899636646752
